sic,sic_2,sic_class,sic_industry
741,7,A,"Agriculture, Forestry, And Fishing"
742,7,A,"Agriculture, Forestry, And Fishing"
751,7,A,"Agriculture, Forestry, And Fishing"
752,7,A,"Agriculture, Forestry, And Fishing"
761,7,A,"Agriculture, Forestry, And Fishing"
762,7,A,"Agriculture, Forestry, And Fishing"
781,7,A,"Agriculture, Forestry, And Fishing"
782,7,A,"Agriculture, Forestry, And Fishing"
783,7,A,"Agriculture, Forestry, And Fishing"
811,8,A,"Agriculture, Forestry, And Fishing"
821,8,A,"Agriculture, Forestry, And Fishing"
831,8,A,"Agriculture, Forestry, And Fishing"
843,8,A,"Agriculture, Forestry, And Fishing"
849,8,A,"Agriculture, Forestry, And Fishing"
851,8,A,"Agriculture, Forestry, And Fishing"
912,9,A,"Agriculture, Forestry, And Fishing"
913,9,A,"Agriculture, Forestry, And Fishing"
919,9,A,"Agriculture, Forestry, And Fishing"
921,9,A,"Agriculture, Forestry, And Fishing"
971,9,A,"Agriculture, Forestry, And Fishing"
1011,10,B,Mining
1021,10,B,Mining
1031,10,B,Mining
1041,10,B,Mining
1044,10,B,Mining
1049,10,B,Mining
1051,10,B,Mining
1061,10,B,Mining
1081,10,B,Mining
1092,10,B,Mining
1094,10,B,Mining
1099,10,B,Mining
1112,11,M,Missing
1211,12,B,Mining
1213,12,B,Mining
1221,12,B,Mining
1222,12,B,Mining
1231,12,B,Mining
1241,12,B,Mining
1311,13,B,Mining
1321,13,B,Mining
1381,13,B,Mining
1382,13,B,Mining
1383,13,B,Mining
1389,13,B,Mining
1398,13,B,Mining
1411,14,B,Mining
1422,14,B,Mining
1423,14,B,Mining
1429,14,B,Mining
1442,14,B,Mining
1446,14,B,Mining
1452,14,B,Mining
1453,14,B,Mining
1454,14,B,Mining
1455,14,B,Mining
1459,14,B,Mining
1472,14,B,Mining
1473,14,B,Mining
1474,14,B,Mining
1475,14,B,Mining
1476,14,B,Mining
1477,14,B,Mining
1479,14,B,Mining
1481,14,B,Mining
1492,14,B,Mining
1496,14,B,Mining
1499,14,B,Mining
1511,15,C,Construction
1521,15,C,Construction
1522,15,C,Construction
1531,15,C,Construction
1541,15,C,Construction
1542,15,C,Construction
1599,15,C,Construction
1611,16,C,Construction
1622,16,C,Construction
1623,16,C,Construction
1629,16,C,Construction
1711,17,C,Construction
1721,17,C,Construction
1731,17,C,Construction
1741,17,C,Construction
1742,17,C,Construction
1743,17,C,Construction
1751,17,C,Construction
1752,17,C,Construction
1761,17,C,Construction
1771,17,C,Construction
1781,17,C,Construction
1791,17,C,Construction
1793,17,C,Construction
1794,17,C,Construction
1795,17,C,Construction
1796,17,C,Construction
1798,17,C,Construction
1799,17,C,Construction
1969,19,M,Missing
2011,20,D,Manufacturing
2013,20,D,Manufacturing
2015,20,D,Manufacturing
2016,20,D,Manufacturing
2017,20,D,Manufacturing
2021,20,D,Manufacturing
2022,20,D,Manufacturing
2023,20,D,Manufacturing
2024,20,D,Manufacturing
2026,20,D,Manufacturing
2032,20,D,Manufacturing
2033,20,D,Manufacturing
2034,20,D,Manufacturing
2035,20,D,Manufacturing
2036,20,D,Manufacturing
2037,20,D,Manufacturing
2038,20,D,Manufacturing
2041,20,D,Manufacturing
2043,20,D,Manufacturing
2044,20,D,Manufacturing
2045,20,D,Manufacturing
2046,20,D,Manufacturing
2047,20,D,Manufacturing
2048,20,D,Manufacturing
2051,20,D,Manufacturing
2052,20,D,Manufacturing
2053,20,D,Manufacturing
2061,20,D,Manufacturing
2062,20,D,Manufacturing
2063,20,D,Manufacturing
2064,20,D,Manufacturing
2065,20,D,Manufacturing
2066,20,D,Manufacturing
2067,20,D,Manufacturing
2068,20,D,Manufacturing
2074,20,D,Manufacturing
2075,20,D,Manufacturing
2076,20,D,Manufacturing
2077,20,D,Manufacturing
2079,20,D,Manufacturing
2081,20,D,Manufacturing
2082,20,D,Manufacturing
2083,20,D,Manufacturing
2084,20,D,Manufacturing
2085,20,D,Manufacturing
2086,20,D,Manufacturing
2087,20,D,Manufacturing
2088,20,D,Manufacturing
2089,20,D,Manufacturing
2091,20,D,Manufacturing
2092,20,D,Manufacturing
2095,20,D,Manufacturing
2096,20,D,Manufacturing
2097,20,D,Manufacturing
2098,20,D,Manufacturing
2099,20,D,Manufacturing
2111,21,D,Manufacturing
2121,21,D,Manufacturing
2131,21,D,Manufacturing
2141,21,D,Manufacturing
2211,22,D,Manufacturing
2221,22,D,Manufacturing
2231,22,D,Manufacturing
2241,22,D,Manufacturing
2251,22,D,Manufacturing
2252,22,D,Manufacturing
2253,22,D,Manufacturing
2254,22,D,Manufacturing
2257,22,D,Manufacturing
2258,22,D,Manufacturing
2259,22,D,Manufacturing
2261,22,D,Manufacturing
2262,22,D,Manufacturing
2269,22,D,Manufacturing
2271,22,D,Manufacturing
2272,22,D,Manufacturing
2273,22,D,Manufacturing
2279,22,D,Manufacturing
2281,22,D,Manufacturing
2282,22,D,Manufacturing
2283,22,D,Manufacturing
2284,22,D,Manufacturing
2291,22,D,Manufacturing
2292,22,D,Manufacturing
2293,22,D,Manufacturing
2294,22,D,Manufacturing
2295,22,D,Manufacturing
2296,22,D,Manufacturing
2297,22,D,Manufacturing
2298,22,D,Manufacturing
2299,22,D,Manufacturing
2311,23,D,Manufacturing
2321,23,D,Manufacturing
2322,23,D,Manufacturing
2323,23,D,Manufacturing
2325,23,D,Manufacturing
2326,23,D,Manufacturing
2327,23,D,Manufacturing
2328,23,D,Manufacturing
2329,23,D,Manufacturing
2331,23,D,Manufacturing
2335,23,D,Manufacturing
2337,23,D,Manufacturing
2339,23,D,Manufacturing
2341,23,D,Manufacturing
2342,23,D,Manufacturing
2345,23,D,Manufacturing
2351,23,D,Manufacturing
2352,23,D,Manufacturing
2353,23,D,Manufacturing
2361,23,D,Manufacturing
2363,23,D,Manufacturing
2369,23,D,Manufacturing
2371,23,D,Manufacturing
2381,23,D,Manufacturing
2384,23,D,Manufacturing
2385,23,D,Manufacturing
2386,23,D,Manufacturing
2387,23,D,Manufacturing
2389,23,D,Manufacturing
2391,23,D,Manufacturing
2392,23,D,Manufacturing
2393,23,D,Manufacturing
2394,23,D,Manufacturing
2395,23,D,Manufacturing
2396,23,D,Manufacturing
2397,23,D,Manufacturing
2399,23,D,Manufacturing
2411,24,D,Manufacturing
2421,24,D,Manufacturing
2426,24,D,Manufacturing
2429,24,D,Manufacturing
2431,24,D,Manufacturing
2434,24,D,Manufacturing
2435,24,D,Manufacturing
2436,24,D,Manufacturing
2439,24,D,Manufacturing
2441,24,D,Manufacturing
2448,24,D,Manufacturing
2449,24,D,Manufacturing
2451,24,D,Manufacturing
2452,24,D,Manufacturing
2491,24,D,Manufacturing
2492,24,D,Manufacturing
2493,24,D,Manufacturing
2499,24,D,Manufacturing
2511,25,D,Manufacturing
2512,25,D,Manufacturing
2514,25,D,Manufacturing
2515,25,D,Manufacturing
2517,25,D,Manufacturing
2519,25,D,Manufacturing
2521,25,D,Manufacturing
2522,25,D,Manufacturing
2531,25,D,Manufacturing
2541,25,D,Manufacturing
2542,25,D,Manufacturing
2591,25,D,Manufacturing
2599,25,D,Manufacturing
2611,26,D,Manufacturing
2621,26,D,Manufacturing
2631,26,D,Manufacturing
2641,26,D,Manufacturing
2642,26,D,Manufacturing
2643,26,D,Manufacturing
2645,26,D,Manufacturing
2646,26,D,Manufacturing
2647,26,D,Manufacturing
2648,26,D,Manufacturing
2649,26,D,Manufacturing
2651,26,D,Manufacturing
2652,26,D,Manufacturing
2653,26,D,Manufacturing
2654,26,D,Manufacturing
2655,26,D,Manufacturing
2656,26,D,Manufacturing
2657,26,D,Manufacturing
2661,26,D,Manufacturing
2671,26,D,Manufacturing
2672,26,D,Manufacturing
2673,26,D,Manufacturing
2674,26,D,Manufacturing
2675,26,D,Manufacturing
2676,26,D,Manufacturing
2677,26,D,Manufacturing
2678,26,D,Manufacturing
2679,26,D,Manufacturing
2711,27,D,Manufacturing
2721,27,D,Manufacturing
2731,27,D,Manufacturing
2732,27,D,Manufacturing
2741,27,D,Manufacturing
2751,27,D,Manufacturing
2752,27,D,Manufacturing
2753,27,D,Manufacturing
2754,27,D,Manufacturing
2759,27,D,Manufacturing
2761,27,D,Manufacturing
2771,27,D,Manufacturing
2782,27,D,Manufacturing
2789,27,D,Manufacturing
2791,27,D,Manufacturing
2793,27,D,Manufacturing
2794,27,D,Manufacturing
2795,27,D,Manufacturing
2796,27,D,Manufacturing
2799,27,D,Manufacturing
2812,28,D,Manufacturing
2813,28,D,Manufacturing
2816,28,D,Manufacturing
2819,28,D,Manufacturing
2821,28,D,Manufacturing
2822,28,D,Manufacturing
