ZIP_CODE,DENSITY,sex_ratio,MEDAGE
3109,1274.3,-0.011950798,39.8
3110,639.4,-0.044836078,41.8
3111,0,NA,0
3215,0,NA,0
3216,59.3,0.035541747,41.1
3217,154.3,-0.084177545,43
3218,72.4,0.008869238,43.2
3220,224,-0.01885279,41.9
3221,47.9,0.007688121,45.9
3222,69.4,-0.006804109,44.9
3223,55.8,-0.003041827,44.5
3224,54.8,-0.021739987,46.5
3225,129,0.011748387,39.3
3226,85.2,-0.0510225,49.8
3227,15.1,-0.025752496,52.3
3229,122,-0.045501858,45.5
3230,33.2,0.01516457,43.6
3231,0,NA,0
3233,82.2,-0.106684143,52.4
3234,127.4,-0.038535234,42.3
3235,264.2,-0.073506147,40.3
3237,70.7,-0.007867861,43.2
3238,25.2,0.065957968,46.9
3240,27.5,0.064116135,45.6
3241,17.1,0.068319244,49.4
3242,108.1,0.018883977,35.7
3243,42.7,0.01821544,42.9
3244,94.7,0.017431869,40
3245,69,0.013912116,45.4
3246,688.9,-0.092998823,43.1
3247,3466.5,-0.04965559,36.6
3249,181.1,-0.055829768,47.5
3251,6.4,0.042935888,49.2
3252,0,NA,0
3253,150.1,-0.063719856,48.2
3254,65.5,-0.0160783,50.9
3255,56,0.018450708,46.5
3256,60.3,0.044409754,42.7
3257,171.6,-0.253100968,48.4
3258,120.2,0.044932683,43.4
3259,14.8,-0.028987537,52.4
3260,0,NA,0
3261,152.3,0.0230226,41.6
3262,16.6,0.018220546,46.1
3263,148.3,-0.013232707,39.3
